u_stop_id,v_stop_id,route_id,line_name,distance_km,time_min,female_only
1,2,1,Red,5.4317,10.2033,false
2,3,1,Red,3.3605,6.69,false
3,4,1,Red,1.5954,2.8483,false
4,5,1,Red,2.0306,3.8567,false
5,6,1,Red,6.1854,7.3317,false
6,7,1,Red,3.0392,4.24,false
7,8,1,Red,1.3762,2.7417,false
8,9,1,Red,2.814,5.8733,false
9,10,1,Red,10.4963,14.2733,false
10,11,1,Red,4.4549,4.8783,false
11,12,1,Red,12.8586,16.2717,false
12,13,1,Red,20.209,21.1117,false
13,14,1,Red,3.3652,4.4083,false
14,15,1,Red,1.6217,1.6667,false
15,16,1,Red,11.7293,13.8133,false
16,17,1,Red,11.1056,11.1817,false
17,18,1,Red,0.6258,1.1533,false
18,19,1,Red,2.1809,2.725,false
19,20,1,Red,0.5742,0.8633,false
20,21,1,Red,25.5756,28.575,false
21,22,1,Red,28.9465,33.66,false
23,24,2,Red,4.3865,5.8967,false
24,25,2,Red,4.9709,5.9683,false
25,26,2,Red,2.3765,2.845,false
26,27,2,Red,3.3198,5.325,false
27,28,2,Red,6.9483,13.5533,false
28,29,2,Red,12.6209,14.425,false
29,30,2,Red,11.6022,15.71,false
30,31,2,Red,1.1767,3.21,false
31,8,2,Red,5.9336,8.9383,false
8,6,2,Red,3.7659,5.9733,false
6,32,2,Red,2.1746,2.43,false
32,33,2,Red,7.3804,7.2233,false
33,34,2,Red,2.6852,2.7917,false
34,35,2,Red,8.6578,9.83,false
23,24,3,Red,4.3865,5.8967,false
24,25,3,Red,4.9709,5.9683,false
25,36,3,Red,2.5957,4.4217,false
36,37,3,Red,3.3383,4.615,false
37,38,3,Red,1.6163,2.0217,false
38,39,3,Red,3.3045,5.0617,false
39,40,3,Red,2.822,4.9167,false
40,41,3,Red,2.581,4.445,false
41,42,3,Red,5.83,8.26,false
42,43,3,Red,2.3806,3.745,false
43,44,3,Red,2.4298,4.4117,false
44,11,3,Red,5.8719,8.12,false
11,12,3,Red,12.8586,16.2717,false
