Route 1,Route 2,Route 3,Route 4,Route 8,Route 9,Route 10,Route 11,Route 12,Route 13,,EV1,EV2,EV3,EV4,EV5,,Green Route,,P Route 1,P Route 2,P Route 10,P Route 3,P Route 9,,Double Decker
khokrapar,power house,power house,power house,yousuf goth,gulshan e hadeed,numaish chowrangi,miran nakka,naddi kinara,hawksbay,,cmh malir cantt,bahria town,malir cantt gate 5,bahria town,dha city,,abdullah chowk,,khokrapar,power house,numaish chowrangi,power house,gulshan e hadeed,,malir halt
saudabd,up more,up more,up more,naval colony,salah uddin ayubi road,mobile market,gulistan colony,khokrapar,mauripur,,tank chowk,dumba goth,rim jhim tower,dumba goth,bahria town,,karimi chowrangi,,saudabd,up more,mobile market,up more,salah uddin ayubi road,,airport
rcd ground,nagan chowrangi,nagan chowrangi,nagan chowrangi,baldia,allah wali chowrangi,metropole,bihar colony,saudabad chowrangi,gulbai,,model mor,toll plaza,safoora chowrangi,toll plaza,dumba goth,,4k chowrangi,,rcd ground,nagan chowrangi,metropole,nagan chowrangi,allah wali chowrangi,,colony gate
kalaboard,shafiq morr,sakhi hasan,shafiq morr,sher shah,national highway 5,frere hall,agra taj colony,rcd ground,agra taj colony,,jinnah ave,baqai university,mausamiyat chowrangi,new sabzi mandi,toll plaza,,2 mint chowrangi,,kalaboard,shafiq morr,frere hall,sakhi hasan,national highway 5,,nata khan bridge
malir halt,sohrab goth,5 star chowrangi,sohrab goth,gulbai,steel mill more,teen talwar,daryabad,kalaboard,daryabad,,airport,malir cantt gate 5,kamran chowrangi,jamali pull,new sabzi mandi,,ayesha complex,,malir halt,sohrab goth,teen talwar,5 star chowrangi,steel mill more,,drigh road station
colony gate,gulshan chowrangi,kda chowrangi,water pump,agra taj colony,port bin qasim more,do talwar,jinnah bridge,malir 15,jinnah bridge,,colony gate,malir cantt gate 6,darul sehat hospital,al asif,jamali pull,,up more,,colony gate,gulshan chowrangi,do talwar,kda chowrangi,port bin qasim more,,nursery
nata khan bridge,nipa,board office,ayesha manzil,daryabad,razzakabad abdullah goth,abdullah shah ghazi,bahria complex,malir mandir,tower,,nata khan bridge,tank chowk,johar chowrangi,sohrab goth,al asif,,nagan chowrangi,,nata khan bridge,nipa,abdullah shah ghazi,board office,razzakabad abdullah goth,,ftc
drigh road station,johar morr,nazimabad eid gah ground,karimabad,jinnah bridge,chowkundi more,dolmen mall clifton,m t khan road,malir session court,,,drigh road station,model mor,johar morr,water pump,sohrab goth,,erum shopping,,drigh road station,johar morr,dolmen mall clifton,nazimabad eid gah ground,chowkundi more,,zainab market
paf base faisal,cod,liaquatabad 10 number,liaquatabad 10 number,tower,fast university,clock tower dha,pidc,murghi khana,,,paf base faisal,jinnah ave,millennium mall,ayesha manzil,,,sakhi hasan,,paf base faisal,cod,clock tower dha,liaquatabad 10 number,fast university,,
laal kothi,drigh road station,essa nagri,laloo khait,,bhains colony more,26 street,khadda market,quaidabad,,,laal kothi,malir halt,dalmia road,,,,hyderi,,laal kothi,drigh road station,26 street,essa nagri,bhains colony more,,
