stop_id,stop_name,coordinates
1,khokrapar,"24.903768114718606, 67.2061653435179"
2,saudabd,"24.900778158261122, 67.20146846025665"
3,rcd ground,"24.899393993096417, 67.19748990387711"
4,kalaboard,"24.88227719122691, 67.18237244372298"
5,malir halt,"24.8845140125113, 67.17534344569857"
6,colony gate,"24.886879850627242, 67.14966622940085"
7,nata khan bridge,"24.886835395512186, 67.14305962810069"
8,drigh road station,"24.886965644902997, 67.12776488945845"
9,paf base faisal,"24.883894435407946, 67.11598337494776"
10,laal kothi,"24.862355754344676, 67.07081462426773"
11,karsaz,"24.87635681463366, 67.10093673112415"
12,nursery,"24.860263946076905, 67.06297119164762"
13,ftc,"24.859272034891426, 67.0525563767453"
14,regent plaza,"24.85542780785788, 67.03905696755734"
15,metropole,"24.850474850388515, 67.02996846676592"
16,arts council,"24.852693312699763, 67.02135521375689"
17,shaheen complex,"24.851184818821903, 67.01942013019065"
18,i i chundrigar,"24.849551728493797, 67.00529840503428"
19,tower,"24.848729359377, 66.99747777101351"
20,fisheries,"24.848385267983648, 66.98104596629392"
21,dockyard,"24.830719669008406, 66.97111206976021"
22,power house,"24.98406219765952, 67.06595145622484"
23,up more,"24.97280122483736, 67.06662626753567"
24,nagan chowrangi,"24.966473908018283, 67.067120681755"
25,shafiq morr,"24.957177587689877, 67.07628010234902"
26,sohrab goth,"24.945572081100174, 67.08384526441569"
27,gulshan chowrangi,"24.921806660176788, 67.09387216882007"
28,nipa,"24.917838351127006, 67.09730712867332"
29,johar morr,"24.902106188637845, 67.11554466783622"
30,cod,"24.88929109367652, 67.12392166747217"
31,shah faisal colony,"24.88061011525447, 67.14553507924295"
32,singer chowrangi,"24.847119571874078, 67.16001064629849"
33,khaddi stop,"24.84037896044439, 67.16148072512865"
34,indus hospital,"24.81728673647496, 67.10764415331832"
35,sakhi hasan,"24.949993830524555, 67.05426007912996"
36,5 star chowrangi,"24.945632600887137, 67.05036187576513"
37,kda chowrangi,"24.93117164773711, 67.03777160440049"
38,board office,"24.926605272600597, 67.03341624968374"
39,nazimabad eid gah ground,"24.910987434184634, 67.03132411790219"
40,liaquatabad 10 number,"24.909299274101045, 67.04980738435832"
41,essa nagri,"24.904507596440347, 67.06767671498382"
42,civic centre,"24.860905582588178, 67.01803831123136"
43,national stadium,"24.890494435942138, 67.0852703204871"
44,korangi road,"24.86050118040526, 67.03182242827064"
45,shan chowrangi,"24.838828671423748, 67.12030584479128"
46,nasir jump,"24.820399314217767, 67.12509741034685"
47,water pump,"24.93589112226575, 67.07505273582728"
48,ayesha manzil,"24.927393529026848, 67.06441448789222"
49,karimabad,"24.918408216017696, 67.05380178510438"
50,laloo khait,"24.908105575862873, 67.04954394824108"
51,teen hati,"24.894276358477995, 67.04396036614932"
52,jehangir road,"24.881056985566907, 67.03940872102555"
53,mobile market,"24.86476220323089, 67.02446487136974"
54,urdu bazar,"24.860905582588178, 67.01803831123136"
55,civil hospital,"24.857011347248704, 67.01120223408176"
56,city court,"24.854401738035758, 67.0067683583659"
57,bolton market,"24.851734354627055, 67.00212888042881"
58,keamari,"24.81839616648927, 66.97488701249502"
59,yousuf goth,"24.95853266672377, 66.92400758309755"
60,naval colony,"24.944950455669805, 66.93307064029047"
61,baldia,"24.91523675068708, 66.95109460505539"
62,sher shah,"24.889276200400737, 66.98246466553346"
63,gulbai,"24.878920828029, 66.96965531873575"
64,agra taj colony,"24.87083259030503, 66.9769082799835"
65,daryabad,"24.862328361218825, 66.98693675684007"
66,jinnah bridge,"24.84634644908115, 66.99243468130219"
67,gulshan e hadeed,"24.868529940301798, 67.36399249473669"
68,salah uddin ayubi road,"24.866477079874816, 67.35720160599485"
